epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.434,1.20713,2.25189,1.64612,0.69472,0.40344,0.42556,0.31528,1.17527,inf,1.60326,4.89681e-05,4.89681e-05,4.89681e-05
2,531.562,1.21338,2.16307,1.64287,0.71104,0.40144,0.43501,0.32278,1.18664,inf,1.59779,8.82693e-05,8.82693e-05,8.82693e-05
3,786.753,1.20951,2.04903,1.6333,0.7241,0.40967,0.44271,0.32602,1.16283,inf,1.58249,0.000117868,0.000117868,0.000117868
4,1041.97,1.19473,1.93364,1.61392,0.72363,0.41154,0.46597,0.34666,1.14537,inf,1.56449,0.000103341,0.000103341,0.000103341
5,1297.98,1.16629,1.80197,1.58369,0.69159,0.4431,0.47874,0.35704,1.13868,inf,1.53201,8.8788e-05,8.8788e-05,8.8788e-05
6,1551.95,1.13897,1.70451,1.55763,0.66681,0.47223,0.4973,0.37481,1.09742,inf,1.50389,7.4235e-05,7.4235e-05,7.4235e-05
7,1808.42,1.11523,1.61961,1.53418,0.58471,0.48781,0.49747,0.37718,1.09885,inf,1.48961,5.9682e-05,5.9682e-05,5.9682e-05
8,2062.2,1.09067,1.55111,1.51254,0.59139,0.50129,0.51347,0.39127,1.06558,inf,1.47347,4.5129e-05,4.5129e-05,4.5129e-05
9,2317.93,1.07235,1.49279,1.49529,0.58351,0.50792,0.5188,0.39685,1.05071,inf,1.45103,3.0576e-05,3.0576e-05,3.0576e-05
10,2573.93,1.04985,1.44315,1.47486,0.60836,0.5134,0.52218,0.4005,1.05901,inf,1.45513,1.6023e-05,1.6023e-05,1.6023e-05
